zatu_handle,zatu_title,reason,bgg_id,bgg_name,score
qe-quantitative-easing,QE (Quantitative Easing),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,62.5
heroquest-jungles-of-delthrak,HeroQuest Jungles Of Delthrak,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
kites-time-to-fly,Kites Time to Fly,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,74.07407407407408
fun-facts,Fun Facts,"QUALITY_GATE: shrunk=7.00, usersrated=3234",370164,Fun Facts,100.0
sub-terra-investigation,Sub Terra: Investigation,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
final-girl-series-3-ultimate-boxes,Final Girl: Series 3 Ultimate Boxes,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,83.33333333333334
gutter-head-the-fiendishly-filthy-drawing-game,Gutterhead - The Fiendishly Filthy Drawing Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,58.22784810126582
slide,Slide,"QUALITY_GATE: shrunk=6.38, usersrated=1322",415836,Slide,100.0
ubongo,Ubongo,"QUALITY_GATE: shrunk=6.66, usersrated=10576",16986,Ubongo,100.0
ultimate-werewolf-party-game-by-ted-alspach,Ultimate Werewolf Party Game by Ted Alspach,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,68.42105263157895
deadwood-1876,Deadwood 1876,"QUALITY_GATE: shrunk=6.57, usersrated=1930",245197,Deadwood 1876,100.0
saboteur-the-duel,Saboteur The Duel,"QUALITY_GATE: shrunk=6.02, usersrated=2427",168215,Saboteur: The Duel,100.0
shifting-stones,Shifting Stones,"QUALITY_GATE: shrunk=6.51, usersrated=3043",302280,Shifting Stones,100.0
schotten-totten-2,Schotten Totten 2,"QUALITY_GATE: shrunk=7.03, usersrated=1700",300930,Schotten Totten 2,100.0
tapestry-fantasies-futures-exp,Tapestry: Fantasies & Futures Exp,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,62.295081967213115
senjutsu-battle-for-japan,Senjutsu: Battle for Japan,"QUALITY_GATE: shrunk=7.14, usersrated=1364",343900,Senjutsu: Battle For Japan,100.0
cards-vs-gravity-pro,Cards vs Gravity Pro,"QUALITY_GATE: shrunk=6.77, usersrated=123",434423,Cards vs Gravity: Pro,100.0
gaia-project-the-lost-fleet,Gaia Project - The lost fleet,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
dominion-rising-sun,Dominion - Rising Sun,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
cthulhu-wars-bubastis-faction-expansion,Cthulhu Wars: Bubastis Faction Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,65.67164179104478
silver-gold,Silver & Gold,"QUALITY_GATE: shrunk=7.15, usersrated=9067",270673,Silver & Gold,100.0
king-of-monster-island,King of Monster Island,"QUALITY_GATE: shrunk=7.08, usersrated=1550",350755,King of Monster Island,100.0
cthulhu-death-may-die-godzilla,Cthulhu: Death May Die - Godzilla,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,82.35294117647058
kerplunk-2,Kerplunk,"QUALITY_GATE: shrunk=4.89, usersrated=1868",3728,Ker Plunk,94.11764705882352
chronicles-of-crime-noir,Chronicles of Crime: NOIR,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
geekbox-slim,Geekbox: Slim,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,60.86956521739131
oath-new-foundations-includes-deck-deluxe-components-ii,Oath New Foundations (includes Deck & Deluxe Components II),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,55.55555555555556
terraforming-mars-automa,Terraforming Mars: Automa,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
flip-circus,Flip Circus,"QUALITY_GATE: shrunk=6.84, usersrated=214",404351,Flip Circus,100.0
star-wars-edge-of-the-empire-rpg-beginner-game-edge-studio-edition,Star Wars Edge of the Empire RPG: Beginner Game (Edge Studio Edition),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,59.25925925925925
air-land-sea-critters-at-war,"Air, Land & Sea: Critters at War",LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,74.07407407407408
cultivate,CULTivate,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
dominion-prosperity-2nd-edition,Dominion Prosperity 2nd Edition,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
unlock-short-4-doo-aranns-dungeon,Unlock! Short 4 - Doo-Arann's Dungeon,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,85.71428571428572
landmarks-board-game,Landmarks Board Game,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
little-hands-card-holder,Little Hands Card Holder,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,69.76744186046511
one-deck-dungeon-forest-of-shadows,One Deck Dungeon: Forest of Shadows,"QUALITY_GATE: shrunk=7.06, usersrated=3557",224821,One Deck Dungeon: Forest of Shadows,100.0
tsuro-of-the-seas,Tsuro of the Seas,"QUALITY_GATE: shrunk=6.51, usersrated=7024",124172,Tsuro of the Seas,100.0
destinies-large-neoprene-world-mat,Destinies - Large Neoprene World Mat,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,62.5
cartographers-map-pack-collection,Cartographers Map Pack Collection,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
mycelia-standard,Mycelia: Standard,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,70.96774193548387
earth-abundance,Earth: Abundance,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
the-sun-never-set-splendor,The Sun Never Set: Splendor,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,63.63636363636363
maladum-beyond-the-vaults,Maladum Beyond the Vaults,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,62.5
the-red-dragon-inn-2,The Red Dragon Inn 2,"QUALITY_GATE: shrunk=6.90, usersrated=3391",33451,The Red Dragon Inn 2,100.0
concordia-britannia-and-germania-map-expansion,Concordia: Britannia And Germania Map Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,58.13953488372092
concordia-solitaria-expansion,Concordia: Solitaria Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,66.66666666666667
maskmen,Maskmen,"QUALITY_GATE: shrunk=6.93, usersrated=2570",159581,Maskmen,100.0
castles-of-burgundy-deluxe-edition,Castles of Burgundy - Deluxe Edition,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
joking-hazard-by-cyanide-happiness,Joking Hazard By Cyanide & Happiness,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,69.33333333333334
quarto,Quarto,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
putrified-enmity-terrorscape-expansion,Putrified Enmity: Terrorscape Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,59.375
quickstop,Quickstop,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,88.88888888888889
nature-board-game,Nature Board Game,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
maladum-beasts-of-enveron-expansion,Maladum Beasts of Enveron Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,67.74193548387098
encore,Encore,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
braggart-2nd-edition,Braggart: 2nd Edition,"QUALITY_GATE: shrunk=6.31, usersrated=951",72420,Braggart,100.0
land-vs-sea,Land vs Sea,"QUALITY_GATE: shrunk=7.02, usersrated=3024",336929,Land vs Sea,100.0
paleo-a-new-beginning,Paleo: A New Beginning,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
king-of-tokyo-even-more-wicked-micro-expansion,King of Tokyo - Even More Wicked!  Micro Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,57.425742574257434
cat-days,Cat Days,"QUALITY_GATE: shrunk=6.41, usersrated=108",414274,Cat Days,100.0
western-legends-the-good-the-bad-and-the-handsome-expansion,"Western Legends: The Good, the Bad and the Handsome Expansion",LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,59.4059405940594
puerto-rico-1897-game,Puerto Rico 1897 Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,86.48648648648648
the-tea-dragon-society-card-game,The Tea Dragon Society Card Game,"QUALITY_GATE: shrunk=6.33, usersrated=1452",236709,The Tea Dragon Society Card Game,100.0
uno-flip,UNO Flip,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
the-isle-of-cats-expansion-kittens-beasts,The Isle of Cats Expansion: Kittens + Beasts,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,62.295081967213115
adventure-games-the-dungeon,Adventure Games: The Dungeon,"QUALITY_GATE: shrunk=6.89, usersrated=2813",267813,Adventure Games: The Dungeon,100.0
herbaceous-the-card-game,Herbaceous (The Card Game),"QUALITY_GATE: shrunk=6.98, usersrated=6317",195314,Herbaceous,100.0
through-the-ages-expansion-new-leaders-wonders,Through the Ages Expansion: New Leaders & Wonders,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,63.366336633663366
the-sims-board-game,The Sims Board Game,"QUALITY_GATE: shrunk=5.65, usersrated=201",448450,The Sims Board Game,100.0
dominion-alchemy,Dominion: Alchemy,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
nova-marvel-champions-hero-pack,Marvel Champions: Nova Hero Pack,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
gloomhaven-metal-coin-upgrade,Gloomhaven: Metal Coin Upgrade,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,59.25925925925925
mindbug-first-contact-new-servants-add-on,Mindbug - First Contact: New Servants Add On,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,67.74193548387098
thunder-road-vendetta-carnival-of-chaos-expansion,Thunder Road: Vendetta - Carnival of Chaos Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,65.88235294117646
the-marrek-murders-final-girl,The Marrek Murders: Final Girl,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,69.56521739130434
architects-of-amytis,Architects of Amytis,"QUALITY_GATE: shrunk=7.01, usersrated=856",415910,The Architects of Amytis,100.0
quarto-mini,Quarto Mini,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,76.19047619047619
dune-choam-and-richese-house-expansion,Dune: Choam and Richese House Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,63.1578947368421
unstable-unicorns-adventure-expansion,Unstable Unicorns: Adventure Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,71.42857142857143
twister-2,Twister,"QUALITY_GATE: shrunk=4.60, usersrated=5645",5894,Twister,100.0
smelly-wellies,Smelly Wellies,"QUALITY_GATE: shrunk=6.40, usersrated=9",267181,Smelly Wellies,100.0
viticulture-world-expansion,Viticulture - World Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,68.0
blytz,Blytz,"QUALITY_GATE: shrunk=6.61, usersrated=32",412908,Blytz,100.0
the-1-club,The 1% Club,"QUALITY_GATE: shrunk=6.45, usersrated=4",436792,The 1% Club: The Board Game,100.0
distilled-card-game-africa-and-middle-east-expansion,Distilled Card Game: Africa And Middle East Expansion,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
catan-traders-barbarians-6th-edition,CATAN Traders & Barbarians (6th Edition),"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
story-time-chess,Story Time Chess,"QUALITY_GATE: shrunk=6.74, usersrated=113",282721,Story Time Chess,100.0
push,PUSH,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
challengers,Challengers,"QUALITY_GATE: shrunk=7.05, usersrated=8486",359970,Challengers!,100.0
joraku-deluxe-edition,Joraku Deluxe Edition,"QUALITY_GATE: shrunk=7.18, usersrated=2098",180901,Joraku,100.0
distilled-card-game-cask-strength-expansion,Distilled Card Game: Cask Strength Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,62.16216216216216
terror-from-destiny-final-girl,Terror From Destiny: Final Girl,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,61.224489795918366
tools-of-hero-kind-boss-monster-expansion,Tools of Hero-kind: Boss Monster Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,66.66666666666667
finspan-sharks-reefs,Finspan: Sharks & Reefs,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
company-of-heroes-2nd-edition-core-set,Company of Heroes: 2nd Edition Core Set,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,79.06976744186046
here-to-slay-warriors-druids-expansion,Here to Slay: Warriors & Druids Expansion,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
sly-pack-o-game,SLY Pack O Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,81.25
apiary-expanding-the-hive,Apiary: Expanding the Hive,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
7-wonders-dice,7 Wonders: Dice,"QUALITY_GATE: shrunk=6.43, usersrated=1899",446231,7 Wonders Dice,100.0
maladum-reference-cards,Maladum Reference Cards,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,66.66666666666667
deduckto,Deduckto,"QUALITY_GATE: shrunk=7.09, usersrated=550",380887,Deduckto,100.0
dixit-expansion-2-quest,Dixit Expansion 2: Quest,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,65.3061224489796
ticket-to-ride-berlin,Ticket To Ride: Berlin,"QUALITY_GATE: shrunk=7.13, usersrated=740",388036,Ticket To Ride: Berlin,100.0
traitors-aboard,Traitors Aboard,"QUALITY_GATE: shrunk=6.77, usersrated=678",403000,Traitors Aboard,100.0
series-1-ultimate-boxes-final-girl,Series 1 Ultimate Boxes: Final Girl,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,83.33333333333334
vaesen-nordic-horror-roleplaying-starter-set,Vaesen: Nordic Horror Roleplaying Starter Set,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,58.53658536585367
the-night-cage-shrieking-hollow-retail-edition,The Night Cage: Shrieking Hollow - Retail Edition,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
series-2-ultimate-boxes-final-girl,Series 2 Ultimate Boxes: Final Girl,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,83.33333333333334
canal-houses,Canal Houses,"QUALITY_GATE: shrunk=6.90, usersrated=565",404845,Canal Houses,100.0
sub-terra-annihilation,Sub Terra: Annihilation,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
dobble-junior,Dobble Junior,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,76.92307692307692
dice-throne-season-one-rerolled-2-monk-vs-paladin,Dice Throne Season One ReRolled 2: Monk vs. Paladin,LOW_CONFIDENCE_MATCH: digit conflict (likely a different sequel/season/expansion),,,97.82608695652173
everdell-mistwood,Everdell Mistwood,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
eleven-base-game,Eleven Base Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,74.07407407407408
star-wars-the-mandalorian-adventures-clan-of-two-expansion,Star Wars The Mandalorian Adventures: Clan Of Two Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,63.52941176470588
set,SET,"QUALITY_GATE: shrunk=6.51, usersrated=14311",1198,SET,100.0
rummikub-word,Rummikub Word,"QUALITY_GATE: shrunk=5.73, usersrated=249",4598,Word Rummikub,100.0
catch-the-moon-2nd-printing,Catch The Moon (2nd Printing),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,63.63636363636363
villagers,Villagers,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
blank-slate,Blank Slate,"QUALITY_GATE: shrunk=6.61, usersrated=1611",254188,Blank Slate,100.0
bullseye-board-game,Bullseye Board Game,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
sub-terra-incubation-expansion,Sub Terra: Incubation Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,71.69811320754718
inferno-retail-edition,Inferno - Retail Edition,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
fallen-land-descendants-expansion,Fallen Land Descendants Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,60.37735849056604
ratjack,Ratjack,"QUALITY_GATE: shrunk=6.65, usersrated=1060",414107,Ratjack,100.0
cascadia-rolling-rivers,Cascadia: Rolling Rivers,"QUALITY_GATE: shrunk=7.12, usersrated=1530",407318,Cascadia: Rolling Rivers,100.0
dont-make-a-sound-final-girl,Don't Make a Sound: Final Girl,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,68.18181818181819
luz,Luz,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
return-to-dark-tower-alliances-expansion,Return to Dark Tower - Alliances Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,66.66666666666667
looot,Looot,"QUALITY_GATE: shrunk=7.04, usersrated=2686",410991,Looot,100.0
upon-time-storytelling-card-game,Once Upon a Time - The Storytelling Card Game,"QUALITY_GATE: shrunk=6.35, usersrated=9274",1234,Once Upon a Time: The Storytelling Card Game,100.0
smash-up-marvel,Smash Up: Marvel,"QUALITY_GATE: shrunk=7.07, usersrated=660",306697,Smash Up: Marvel,100.0
salsa-concordia-exp,Concordia: Salsa Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,72.0
cthulhu-wars-tcho-tcho-faction-expansion-2,Cthulhu Wars: Tcho-Tcho Faction Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,64.70588235294117
star-fluxx,Star Fluxx,"QUALITY_GATE: shrunk=6.30, usersrated=6026",102104,Star Fluxx,100.0
pirate-fluxx,Pirate Fluxx,"QUALITY_GATE: shrunk=6.21, usersrated=2926",73538,Pirate Fluxx,100.0
mantis-falls,Mantis Falls,"QUALITY_GATE: shrunk=7.10, usersrated=1853",291847,Mantis Falls,100.0
between-two-castles-essential-edition,Between Two Castles: Essential Edition,"QUALITY_GATE: shrunk=7.10, usersrated=153",437698,Between Two Castles: Essential Edition,100.0
escape-from-the-lost-temple,Escape from the Lost Temple,"QUALITY_GATE: shrunk=6.62, usersrated=21",444816,Escape from the Lost Temple,100.0
gang-of-four,Gang of Four,"QUALITY_GATE: shrunk=6.62, usersrated=2543",3085,Gang of Four,100.0
hey-thats-my-fish-2,Hey That's My Fish,"QUALITY_GATE: shrunk=6.70, usersrated=22891",8203,"Hey, That's My Fish!",100.0
tiny-epic-cthulhu-cult-of-chaos-expansion,Tiny Epic Cthulhu Cult of Chaos Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,58.62068965517242
halo-flashpoint-rise-of-the-banished,Halo: Flashpoint - Rise of the Banished,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
carcassonne-siege-defence-exp-7-2025,Carcassonne: Siege & Defence - Exp 7 (2025),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,66.66666666666667
agent-avenue-division-m,Agent Avenue: Division M,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
little-soldiers,Little Soldiers,"QUALITY_GATE: shrunk=6.65, usersrated=207",404356,Little Soldiers,100.0
bretwalda-artefacts,Bretwalda: Artefacts,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,66.66666666666667
bolt-action-starter-set,Bolt Action Starter Set,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,79.3103448275862
think-words,Think Words,"QUALITY_GATE: shrunk=6.47, usersrated=2",291621,Think Words! Spin,95.0
sub-terra-extraction,Sub Terra: Extraction,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
sequence-classic-2,Sequence Classic,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,82.75862068965517
dino-days,Dino Days,"QUALITY_GATE: shrunk=6.53, usersrated=73",414798,Dino Days,100.0
dinosaurs-top-trumps-classics,Dinosaurs - Top Trumps Classics,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,63.829787234042556
star-trek-away-missions-expansion-the-house-of-duras-klingon-expansion,Star Trek Away Missions Expansion: The House of Duras - Klingon Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,58.82352941176471
black-forest,Black Forest,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
irk-pack-o-game,IRK Pack O Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,71.42857142857143
misheard-music,Misheard Music,"QUALITY_GATE: shrunk=6.46, usersrated=7",461167,Misheard music,100.0
terrorscape-lethal-immortals,Terrorscape Lethal Immortals,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
grab-game-mantis,Grab & Game - Mantis,"QUALITY_GATE: shrunk=6.47, usersrated=73",430592,MANTIS: Grab & Game,100.0
the-red-dragon-inn-3,The Red Dragon Inn 3,"QUALITY_GATE: shrunk=7.16, usersrated=1955",66510,The Red Dragon Inn 3,100.0
incohearent-the-spicier-edition,Incohearent - The Spicier Edition,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,71.69811320754718
mad-pack-o-game,MAD Pack O Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,81.4814814814815
massive-darkness-2-monks-and-necromancers-vs-the-paragon,Massive Darkness 2: Monks and Necromancers vs The Paragon,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,58.22784810126582
iss-vanguard-deadly-frontier-campaign,ISS Vanguard: Deadly Frontier Campaign,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,61.76470588235294
prey-another-day,Prey Another Day,"QUALITY_GATE: shrunk=6.82, usersrated=2867",234260,Prey Another Day,100.0
wandering-towers-mini-spell-expansion-2,Wandering Towers: Mini-Spell Expansion 2,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
yet-pack-o-game,YET Pack O Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,87.5
20-strong-board-game-tanglewoods-baba-yaga,20 Strong Board Game: Tanglewoods: Baba Yaga,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
horrible-therapist,Horrible Therapist,"QUALITY_GATE: shrunk=5.46, usersrated=358",430572,Horrible Therapist,100.0
catan-seafarers-5-6-player-expansion-6th-edition,CATAN Seafarers 5-6 Player Expansion 6th Edition,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,66.66666666666667
dorfromantik-light-luggage,Dorfromantik - Light Luggage,"QUALITY_GATE: shrunk=7.11, usersrated=202",449931,Dorfromantik: Light Luggage,100.0
kabuto-sumo-sakura-slam,Kabuto Sumo - Sakura Slam,"QUALITY_GATE: shrunk=7.20, usersrated=597",410680,Kabuto Sumo: Sakura Slam,100.0
similo-history,Similo: History,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,71.42857142857143
5-minute-mystery-standard-edition,5-Minute Mystery - Standard Edition,"QUALITY_GATE: shrunk=6.94, usersrated=2622",294514,5-Minute Mystery,100.0
concordia-gallia-and-corsica-map-expansion,Concordia: Gallia And Corsica Map Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,55.73770491803278
detective-l-a-crimes,Detective: L.A. Crimes,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
zensu,Zensu,"QUALITY_GATE: shrunk=6.53, usersrated=89",20931,Zensū,100.0
tba-timeline-twist,Timeline Twist,"QUALITY_GATE: shrunk=6.13, usersrated=562",379290,Timeline Twist,100.0
through-the-desert-board-game-bazaar-expansion,Through The Desert Board Game: Bazaar Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,64.40677966101696
de-profundis-abyss,De Profundis: Abyss,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,68.75
gloomies,Gloomies,"QUALITY_GATE: shrunk=6.98, usersrated=396",433386,Gloomies,100.0
ichor,Ichor,"QUALITY_GATE: shrunk=7.19, usersrated=760",420915,Ichor,100.0
final-girl-a-rotten-harvest,Final Girl: A Rotten Harvest,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
