zatu_handle,zatu_title,reason,bgg_id,bgg_name,score
magic-maze,Magic Maze,"QUALITY_GATE: shrunk=6.93, usersrated=24112",209778,Magic Maze,100.0
exit-the-pharaohs-tomb,EXIT: The Game - The Pharaoh's Tomb,"QUALITY_GATE: shrunk=7.12, usersrated=7045",203416,EXIT: The Game – The Pharaoh's Tomb,100.0
dominion-2nd-edition,Dominion 2nd Edition,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
compile-card-game-aux-1-expansion,Compile Card Game: Aux 1 Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,70.27027027027026
ticket-to-ride-europe-1912-expansion,Ticket To Ride Europe 1912 Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,73.6842105263158
exit-the-mysterious-museum,EXiT - The Mysterious Museum,"QUALITY_GATE: shrunk=7.06, usersrated=2894",244918,EXIT: The Game – The Mysterious Museum,100.0
duel-for-middle-earth-allies-the-lord-of-the-rings-exp,Duel for Middle-Earth - Allies: The Lord of the Rings Exp,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,86.41975308641976
scrawl,Scrawl (17+),LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,80.0
ice-cool,Ice Cool,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,77.77777777777779
tiny-towns,Tiny Towns,"QUALITY_GATE: shrunk=7.17, usersrated=22672",265736,Tiny Towns,100.0
ticket-to-ride-london,Ticket To Ride: London,"QUALITY_GATE: shrunk=7.03, usersrated=5873",276894,Ticket to Ride: London,100.0
carcassonne-expansion-1-inns-cathedrals,Carcassonne: Inns & Cathedrals - Expansion 1,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,68.42105263157895
branch-claw-expansion-spirit-island,Spirit Island: Branch & Claw,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
exit-the-forbidden-castle,EXIT: The Forbidden Castle,"QUALITY_GATE: shrunk=6.76, usersrated=3559",215840,EXIT: The Game – The Forbidden Castle,100.0
jagged-earth-spirit-island-expansion,Spirit Island: Jagged Earth,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
saboteur,Saboteur,"QUALITY_GATE: shrunk=6.54, usersrated=36720",9220,Saboteur,100.0
no-thanks,No Thanks!,"QUALITY_GATE: shrunk=7.08, usersrated=30942",12942,No Thanks!,100.0
catan-6th-edition-2025,CATAN 6th Edition (2025),LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
the-gang,The Gang,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
exit-the-forgotten-island,EXIT: The Forgotten Island,"QUALITY_GATE: shrunk=6.85, usersrated=3963",215841,EXIT: The Game – The Forgotten Island,100.0
lost-cities-the-card-game,Lost Cities - The Card Game,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
the-drowned-city-investigator-expansion-arkham-horror-the-card-game,The Drowned City Investigator Expansion: Arkham Horror: The Card Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,60.526315789473685
pandemic-legacy-season-zero,Pandemic Legacy Season Zero,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,86.27450980392157
azul-mini,Azul Mini,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,73.6842105263158
machi-koro-5th-anniversary-edition,Machi Koro 5th Anniversary Edition,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,84.61538461538461
forbidden-desert,Forbidden Desert,"QUALITY_GATE: shrunk=7.06, usersrated=32990",136063,Forbidden Desert,100.0
the-drowned-city-campaign-expansion-arkham-horror-the-card-game,The Drowned City Campaign Expansion: Arkham Horror: The Card Game,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,58.22784810126582
marvel-champions-age-of-apocalypse-exp,Marvel Champions: Age of Apocalypse Exp,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,67.53246753246754
hot-streak,Hot Streak,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
extra-salt-sea-salt-and-paper-expansion,Extra Salt: Sea Salt and Paper expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,74.28571428571429
colt-express,Colt Express,"QUALITY_GATE: shrunk=7.10, usersrated=35685",158899,Colt Express,100.0
obsession-board-game-2nd-edition,Obsession Board Game: 2nd Edition,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
the-castles-of-burgundy-new-edition,The Castles Of Burgundy - New Edition,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,81.81818181818181
dro-polter,Dro Polter,"QUALITY_GATE: shrunk=7.05, usersrated=3253",405537,DroPolter,94.73684210526316
decrypto,Decrypto,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this normalized title,,,
taco-cat-goat-cheese-pizza,Taco Cat Goat Cheese Pizza,"QUALITY_GATE: shrunk=6.46, usersrated=9108",253664,Taco Cat Goat Cheese Pizza,100.0
ark-nova-card-game-marine-worlds-expansion,Ark Nova Card Game: Marine Worlds Expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,63.33333333333333
flip-7-with-a-vengeance,Flip 7 with a Vengeance,"QUALITY_GATE: shrunk=7.15, usersrated=1629",463441,Flip 7: With A Vengeance,100.0
roll-player-cartographers-expansion,Cartographers: A Roll Player Tale,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,72.0
extra-pepper-sea-salt-and-paper-expansion,Extra Pepper: Sea Salt and Paper expansion,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,76.63551401869158
forest-shuffle-alpine,Forest Shuffle: Alpine,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
exploding-kittens,Exploding Kittens,"QUALITY_GATE: shrunk=6.07, usersrated=42190",172225,Exploding Kittens,100.0
scythe-invaders-from-afar,Scythe: Invaders From Afar,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
happy-trails-horror-final-girl-exp,Happy Trails Horror: Final Girl Exp.,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,57.14285714285714
qwirkle-travel,Qwirkle Travel,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,76.92307692307692
exit-the-haunted-roller-coaster,EXIT: The Haunted Roller Coaster,"QUALITY_GATE: shrunk=7.07, usersrated=2139",269968,EXIT: The Game – The Haunted Roller Coaster,100.0
boop,Boop,"QUALITY_GATE: shrunk=7.02, usersrated=5246",355433,boop.,100.0
clank,Clank!,LOW_CONFIDENCE_MATCH: ambiguous: multiple BGG entries share this title as a prefix,,,80.0
skull-2022-edition,Skull 2022 edition,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,68.57142857142857
forest-shuffle-exploration,Forest Shuffle: Exploration,"LOW_CONFIDENCE_MATCH: exact match is a BGG expansion/non-base entry, out of scope -- refusing to fall back to a fuzzy match against an unrelated base game",,,100.0
hellas-elysium-terraforming-mars-exp,Hellas & Elysium: Terraforming Mars Exp,LOW_CONFIDENCE_MATCH: fuzzy score below threshold or too close to runner-up,,,71.23287671232876
